potencia_cv,torque_nm,preco_tabela_brl,capacidade_carga_kg,capacidade_reboque_kg,profundidade_vadeo_mm,angulo_ataque_graus,angulo_saida_graus,airbags_quantidade,tela_central_pol,frenagem_autonoma,perfil
247.0,472.0,335907.0,1313.0,2434.0,588.0,30.737638446522176,24.302304187458727,7.0,11.919121865976486,1.0,familia
211.0,493.0,233468.0,858.0,2342.0,549.0,26.94274199778582,19.27592777343637,8.0,11.087696298664708,1.0,familia
232.0,401.0,288224.0,1115.0,2177.0,618.0,24.198083930243584,21.124918750620168,8.0,11.478447805324402,1.0,familia
224.0,525.0,261166.0,1129.0,1951.0,533.0,26.590583707607372,24.215399739986232,7.0,12.67136828118997,1.0,familia
225.0,463.0,250859.0,999.0,2371.0,652.0,27.030854868705383,16.7108795339118,7.0,13.082122794713039,1.0,familia
261.0,433.0,297631.0,1146.0,2773.0,576.0,25.44302307000855,18.680995077981915,9.0,11.30379337591933,1.0,familia
227.0,535.0,324465.0,1009.0,2601.0,676.0,25.892521882670145,26.693930967442018,8.0,12.1013616099848,1.0,familia
227.0,484.0,298039.0,1112.0,1943.0,589.0,27.07133771453524,26.433682134224547,7.0,11.981729781726353,1.0,familia
201.0,452.0,346616.0,1146.0,2351.0,625.0,26.291232648044122,24.90593497159867,9.0,12.190711453555423,1.0,familia
253.0,458.0,251459.0,1141.0,2573.0,600.0,25.29623859987456,17.753887773848756,7.0,12.07935467723464,1.0,familia
224.0,502.0,385447.0,1124.0,2572.0,596.0,20.243686354102877,21.920458373652348,7.0,12.602347682549667,1.0,familia
214.0,469.0,322061.0,1095.0,2172.0,657.0,28.255799098060322,24.373095841129143,8.0,11.59061254520526,1.0,familia
250.0,600.0,270378.0,1020.0,2527.0,574.0,21.3480097068016,22.205688924418084,8.0,13.036336032382065,1.0,familia
239.0,523.0,260521.0,915.0,2646.0,614.0,26.75147855103763,23.039344628490927,8.0,12.726288269498875,1.0,familia
259.0,496.0,281425.0,1361.0,2632.0,540.0,27.96966082590149,19.075954989318035,8.0,13.287084603742452,1.0,familia
263.0,502.0,342882.0,1365.0,2431.0,562.0,23.33145671112343,19.552569145103686,9.0,13.378673548190896,1.0,familia
222.0,519.0,328929.0,1089.0,2262.0,524.0,24.660455143798938,24.569196382970418,7.0,13.210109240363954,1.0,familia
233.0,431.0,316149.0,1108.0,2179.0,617.0,27.682353579104703,25.24915372952583,8.0,13.553802052034904,1.0,familia
248.0,508.0,330601.0,1500.0,2659.0,656.0,28.86200529047961,23.954173753917395,9.0,11.347434628339984,1.0,familia
177.0,453.0,313274.0,1424.0,1977.0,634.0,21.161852386431043,20.5842044026317,7.0,13.588950596967367,1.0,familia
204.0,517.0,280785.0,1130.0,2512.0,567.0,32.43183226797598,23.901757066954033,9.0,12.515143278259865,1.0,familia
245.0,443.0,344097.0,989.0,2467.0,625.0,28.597265582510364,18.39911077883267,7.0,12.165498764159052,1.0,familia
291.0,502.0,259564.0,1228.0,3094.0,651.0,21.44189010213796,20.547297781401245,8.0,12.262608038793331,1.0,familia
295.0,301.0,269024.0,1064.0,2150.0,681.0,21.7095758661181,20.67986653990905,8.0,12.630740577286092,1.0,familia
270.0,480.0,270739.0,1164.0,2555.0,569.0,26.209406254970055,20.84405920941472,9.0,10.602623017511343,1.0,familia
274.0,597.0,231916.0,1078.0,2664.0,614.0,24.13190144053822,21.375633248928175,9.0,12.006999065341168,1.0,familia
209.0,526.0,324280.0,1002.0,2751.0,615.0,28.43858635651688,23.888886525770836,7.0,13.051737010465075,1.0,familia
205.0,478.0,314693.0,1278.0,2334.0,627.0,25.39342204269832,21.34695639031834,9.0,13.59877685198719,1.0,familia
275.0,481.0,337278.0,1056.0,2590.0,593.0,26.290987894978155,23.785471076310742,8.0,10.707954899864784,1.0,familia
214.0,543.0,341666.0,1187.0,2675.0,599.0,23.308236885542506,22.22741367458118,8.0,11.822838288487889,1.0,familia
201.0,462.0,326517.0,1021.0,2269.0,612.0,26.73489971332617,20.47917047388661,7.0,13.059109202614527,1.0,familia
260.0,400.0,253701.0,999.0,2440.0,615.0,30.426068650848656,24.572978869606057,7.0,12.340061470036574,1.0,familia
229.0,464.0,322908.0,984.0,2645.0,676.0,25.67371955462943,23.205135166296824,7.0,12.156798763368831,0.0,familia
246.0,492.0,310503.0,1113.0,2283.0,601.0,27.493994873736348,26.353430823385125,8.0,13.459270826085207,1.0,familia
260.0,490.0,397592.0,986.0,2264.0,570.0,19.62831282707058,20.422734934957717,8.0,10.587293482935781,1.0,familia
242.0,430.0,329676.0,915.0,3012.0,658.0,24.592473043685885,16.860596412727368,9.0,13.853872374165412,1.0,familia
225.0,548.0,246222.0,1016.0,2501.0,602.0,24.649803585562267,23.868549797042498,8.0,11.131409884458144,1.0,familia
248.0,395.0,361107.0,1146.0,2290.0,677.0,26.347023902878576,25.53789155219148,8.0,12.56751848141011,1.0,familia
221.0,533.0,335815.0,1291.0,2229.0,634.0,29.175273460548762,16.723781540730656,8.0,13.386063560246154,1.0,familia
225.0,562.0,312963.0,1328.0,2113.0,514.0,25.833356903310143,23.152196346817924,8.0,12.467305251905907,1.0,familia
213.0,450.0,278285.0,1085.0,2210.0,572.0,22.406366322233453,27.89417539874917,7.0,12.53526355197173,1.0,familia
205.0,491.0,305506.0,1069.0,2671.0,637.0,24.40849655716842,20.27254527806596,8.0,14.874141743400596,1.0,familia
219.0,570.0,300038.0,1180.0,2587.0,753.0,29.35872473430373,21.6162472255577,8.0,11.544459559399574,1.0,familia
203.0,401.0,284137.0,948.0,2972.0,644.0,25.976082076050147,26.43983241667008,7.0,14.87432940349239,1.0,familia
265.0,422.0,302386.0,977.0,2112.0,646.0,31.72824992141039,17.804297278542577,7.0,13.06296923669057,1.0,familia
207.0,453.0,286304.0,979.0,2513.0,558.0,26.811370477339516,21.849285671652588,7.0,12.890253268983143,1.0,familia
227.0,448.0,340215.0,1170.0,2226.0,604.0,28.254161370115366,16.991784156635884,9.0,13.043360192379936,1.0,familia
203.0,380.0,244898.0,1106.0,2572.0,554.0,27.915777376332123,17.01543981319312,7.0,15.28377742348905,1.0,familia
173.0,432.0,294617.0,1240.0,2338.0,641.0,22.610879436027147,23.589412533745847,8.0,13.9415686206579,1.0,familia
